date,time,people
2020-01-01,0,740
2020-01-01,1,8
2020-01-01,6,1357
2020-01-01,7,1421
2020-01-01,8,1785
2020-01-01,9,2841
2020-01-01,10,4691
2020-01-01,11,6847
2020-01-01,12,8030
2020-01-01,13,8482
2020-01-01,14,10139
2020-01-01,15,11059
2020-01-01,16,11769
2020-01-01,17,12216
2020-01-01,18,11082
2020-01-01,19,8974
2020-01-01,20,7458
2020-01-01,21,7403
2020-01-01,22,6600
2020-01-01,23,2120
2020-01-02,0,660
2020-01-02,1,5
2020-01-02,5,1
2020-01-02,6,1304
2020-01-02,7,6084
2020-01-02,8,13871
2020-01-02,9,8202
2020-01-02,10,5210
2020-01-02,11,5441
2020-01-02,12,5829
2020-01-02,13,6026
2020-01-02,14,6025
2020-01-02,15,6281
2020-01-02,16,7313
2020-01-02,17,10031
2020-01-02,18,15573
2020-01-02,19,11801
2020-01-02,20,7717
2020-01-02,21,7251
2020-01-02,22,6525
2020-01-02,23,2119
2020-01-03,0,1214
2020-01-03,1,22
2020-01-03,5,1
2020-01-03,6,1340
2020-01-03,7,6048
2020-01-03,8,13749
2020-01-03,9,8210
2020-01-03,10,5605
2020-01-03,11,5831
2020-01-03,12,6399
2020-01-03,13,6638
2020-01-03,14,6827
2020-01-03,15,7105
2020-01-03,16,8696
2020-01-03,17,11817
2020-01-03,18,17383
2020-01-03,19,13450
2020-01-03,20,8554
2020-01-03,21,8437
2020-01-03,22,9086
2020-01-03,23,3698
2020-01-04,0,1254
2020-01-04,1,16
2020-01-04,5,1
2020-01-04,6,813
2020-01-04,7,2687
2020-01-04,8,2783
2020-01-04,9,3818
2020-01-04,10,5685
2020-01-04,11,6949
2020-01-04,12,7027
2020-01-04,13,8182
2020-01-04,14,9091
2020-01-04,15,9485
2020-01-04,16,10811
2020-01-04,17,13172
2020-01-04,18,11827
2020-01-04,19,8640
2020-01-04,20,7588
2020-01-04,21,7613
2020-01-04,22,8752
2020-01-04,23,3744
2020-01-05,0,589
2020-01-05,1,5
2020-01-05,5,0
2020-01-05,6,574
2020-01-05,7,1123
2020-01-05,8,1919
2020-01-05,9,3032
2020-01-05,10,5046
2020-01-05,11,6288
2020-01-05,12,6395
2020-01-05,13,7234
2020-01-05,14,8405
2020-01-05,15,8530
2020-01-05,16,9470
2020-01-05,17,10573
2020-01-05,18,9435
2020-01-05,19,7311
2020-01-05,20,6555
2020-01-05,21,6538
2020-01-05,22,6165
2020-01-05,23,1841
2020-01-06,0,553
2020-01-06,1,9
2020-01-06,5,0
2020-01-06,6,1273
2020-01-06,7,5871
2020-01-06,8,14358
2020-01-06,9,8485
2020-01-06,10,5338
2020-01-06,11,5074
2020-01-06,12,5384
2020-01-06,13,5341
2020-01-06,14,5699
2020-01-06,15,5888
2020-01-06,16,6862
2020-01-06,17,9521
2020-01-06,18,14998
2020-01-06,19,11130
2020-01-06,20,7127
2020-01-06,21,6916
2020-01-06,22,6165
2020-01-06,23,1748
2020-01-07,0,610
2020-01-07,1,5
2020-01-07,5,0
2020-01-07,6,1215
2020-01-07,7,5833
2020-01-07,8,14214
2020-01-07,9,8721
2020-01-07,10,5201
2020-01-07,11,4997
2020-01-07,12,5353
2020-01-07,13,5505
2020-01-07,14,5586
2020-01-07,15,5595
2020-01-07,16,6785
2020-01-07,17,9571
2020-01-07,18,15280
2020-01-07,19,11339
2020-01-07,20,7062
2020-01-07,21,7324
2020-01-07,22,6800
2020-01-07,23,1947
2020-01-08,0,611
2020-01-08,1,3
2020-01-08,5,0
2020-01-08,6,1220
2020-01-08,7,5906
2020-01-08,8,14151
2020-01-08,9,8452
2020-01-08,10,5372
2020-01-08,11,5114
2020-01-08,12,5510
2020-01-08,13,5936
2020-01-08,14,5927
2020-01-08,15,5810
2020-01-08,16,7045
2020-01-08,17,10304
2020-01-08,18,15404
2020-01-08,19,11639
2020-01-08,20,7356
2020-01-08,21,7927
2020-01-08,22,7064
2020-01-08,23,2075
2020-01-09,0,823
2020-01-09,1,7
2020-01-09,5,1
2020-01-09,6,1264
2020-01-09,7,5877
2020-01-09,8,13971
2020-01-09,9,8752
2020-01-09,10,5535
2020-01-09,11,5139
2020-01-09,12,5770
2020-01-09,13,5991
2020-01-09,14,6160
2020-01-09,15,6098
2020-01-09,16,7877
2020-01-09,17,11159
2020-01-09,18,16333
2020-01-09,19,11915
2020-01-09,20,7734
2020-01-09,21,8610
2020-01-09,22,8267
2020-01-09,23,2499
2020-01-10,0,1276
2020-01-10,1,14
2020-01-10,5,0
2020-01-10,6,1443
2020-01-10,7,5907
2020-01-10,8,13646
2020-01-10,9,8281
2020-01-10,10,5493
2020-01-10,11,5790
2020-01-10,12,6333
2020-01-10,13,6815
2020-01-10,14,7186
2020-01-10,15,7343
2020-01-10,16,9214
2020-01-10,17,13527
2020-01-10,18,18369
2020-01-10,19,13762
2020-01-10,20,9130
2020-01-10,21,9455
2020-01-10,22,9805
