date,time,people
2020-01-01,0,2607
2020-01-01,1,17
2020-01-01,6,4799
2020-01-01,7,6957
2020-01-01,8,10221
2020-01-01,9,10837
2020-01-01,10,14249
2020-01-01,11,18653
2020-01-01,12,21292
2020-01-01,13,21334
2020-01-01,14,22299
2020-01-01,15,23563
2020-01-01,16,24754
2020-01-01,17,26806
2020-01-01,18,25404
2020-01-01,19,20546
2020-01-01,20,17976
2020-01-01,21,16832
2020-01-01,22,14121
2020-01-01,23,6766
2020-01-02,0,1526
2020-01-02,1,18
2020-01-02,5,2
2020-01-02,6,4973
2020-01-02,7,13963
2020-01-02,8,26474
2020-01-02,9,17774
2020-01-02,10,14435
2020-01-02,11,14516
2020-01-02,12,15597
2020-01-02,13,15582
2020-01-02,14,14892
2020-01-02,15,15173
2020-01-02,16,17140
2020-01-02,17,24852
2020-01-02,18,31775
2020-01-02,19,21776
2020-01-02,20,16030
2020-01-02,21,15909
2020-01-02,22,15238
2020-01-02,23,4581
2020-01-03,0,2569
2020-01-03,1,44
2020-01-03,5,2
2020-01-03,6,4177
2020-01-03,7,13072
2020-01-03,8,24756
2020-01-03,9,16878
2020-01-03,10,14519
2020-01-03,11,14898
2020-01-03,12,16770
2020-01-03,13,17740
2020-01-03,14,17365
2020-01-03,15,18400
2020-01-03,16,21448
2020-01-03,17,31564
2020-01-03,18,38184
2020-01-03,19,26078
2020-01-03,20,19544
2020-01-03,21,20009
2020-01-03,22,20287
2020-01-03,23,8081
2020-01-04,0,2485
2020-01-04,1,36
2020-01-04,5,1
2020-01-04,6,4073
2020-01-04,7,8451
2020-01-04,8,13306
2020-01-04,9,15936
2020-01-04,10,17995
2020-01-04,11,21448
2020-01-04,12,22093
2020-01-04,13,22088
2020-01-04,14,21804
2020-01-04,15,22482
2020-01-04,16,24506
2020-01-04,17,29244
2020-01-04,18,26119
2020-01-04,19,19192
2020-01-04,20,17295
2020-01-04,21,18257
2020-01-04,22,17128
2020-01-04,23,7559
2020-01-05,0,1637
2020-01-05,1,21
2020-01-05,5,2
2020-01-05,6,2810
2020-01-05,7,5768
2020-01-05,8,11576
2020-01-05,9,13030
2020-01-05,10,15425
2020-01-05,11,18813
2020-01-05,12,20345
2020-01-05,13,21251
2020-01-05,14,21454
2020-01-05,15,22060
2020-01-05,16,24738
2020-01-05,17,28525
2020-01-05,18,25460
2020-01-05,19,20287
2020-01-05,20,18678
2020-01-05,21,18131
2020-01-05,22,13995
2020-01-05,23,4901
2020-01-06,0,1192
2020-01-06,1,24
2020-01-06,5,0
2020-01-06,6,4835
2020-01-06,7,14318
2020-01-06,8,26119
2020-01-06,9,17323
2020-01-06,10,13290
2020-01-06,11,13753
2020-01-06,12,14824
2020-01-06,13,14530
2020-01-06,14,14513
2020-01-06,15,14321
2020-01-06,16,15698
2020-01-06,17,23630
2020-01-06,18,29222
2020-01-06,19,19338
2020-01-06,20,14145
2020-01-06,21,14540
2020-01-06,22,13147
2020-01-06,23,3805
2020-01-07,0,1236
2020-01-07,1,28
2020-01-07,5,0
2020-01-07,6,4070
2020-01-07,7,13086
2020-01-07,8,24643
2020-01-07,9,16897
2020-01-07,10,13239
2020-01-07,11,12829
2020-01-07,12,14029
2020-01-07,13,14255
2020-01-07,14,13547
2020-01-07,15,14238
2020-01-07,16,16371
2020-01-07,17,23708
2020-01-07,18,29797
2020-01-07,19,19175
2020-01-07,20,14409
2020-01-07,21,14680
2020-01-07,22,13964
2020-01-07,23,4016
2020-01-08,0,1354
2020-01-08,1,28
2020-01-08,5,0
2020-01-08,6,4111
2020-01-08,7,13065
2020-01-08,8,24730
2020-01-08,9,16207
2020-01-08,10,12301
2020-01-08,11,13189
2020-01-08,12,14096
2020-01-08,13,14579
2020-01-08,14,14409
2020-01-08,15,14571
2020-01-08,16,17436
2020-01-08,17,25213
2020-01-08,18,30942
2020-01-08,19,20555
2020-01-08,20,14687
2020-01-08,21,15945
2020-01-08,22,14866
2020-01-08,23,4333
2020-01-09,0,1925
2020-01-09,1,31
2020-01-09,5,0
2020-01-09,6,4180
2020-01-09,7,13075
2020-01-09,8,25205
2020-01-09,9,17156
2020-01-09,10,13233
2020-01-09,11,14049
2020-01-09,12,15550
2020-01-09,13,16232
2020-01-09,14,16695
2020-01-09,15,18353
2020-01-09,16,20606
2020-01-09,17,30046
2020-01-09,18,36905
2020-01-09,19,26123
2020-01-09,20,18969
2020-01-09,21,21883
2020-01-09,22,19428
2020-01-09,23,5338
2020-01-10,0,3202
2020-01-10,1,55
2020-01-10,5,0
2020-01-10,6,4435
2020-01-10,7,14047
2020-01-10,8,25372
2020-01-10,9,18034
2020-01-10,10,15653
2020-01-10,11,16773
2020-01-10,12,19438
2020-01-10,13,20250
2020-01-10,14,20664
2020-01-10,15,22152
2020-01-10,16,25093
2020-01-10,17,36796
2020-01-10,18,43878
2020-01-10,19,31886
2020-01-10,20,24870
2020-01-10,21,25095
2020-01-10,22,25357
2020-01-10,23,9983
2020-01-11,0,2769
2020-01-11,1,35
2020-01-11,5,0
2020-01-11,6,5485
2020-01-11,7,8112
2020-01-11,8,12938
2020-01-11,9,16730
2020-01-11,10,20117
2020-01-11,11,21874
2020-01-11,12,22174
2020-01-11,13,23030
2020-01-11,14,22261
2020-01-11,15,21176
2020-01-11,16,21506
2020-01-11,17,23580
2020-01-11,18,20525
2020-01-11,19,16040
2020-01-11,20,15007
2020-01-11,21,15871
2020-01-11,22,15353
2020-01-11,23,6878
2020-01-12,0,2478
2020-01-12,1,31
2020-01-12,5,0
2020-01-12,6,3067
2020-01-12,7,5599
2020-01-12,8,11227
2020-01-12,9,13991
2020-01-12,10,16545
2020-01-12,11,19996
2020-01-12,12,21018
2020-01-12,13,22645
2020-01-12,14,24070
2020-01-12,15,25447
2020-01-12,16,27214
2020-01-12,17,30939
2020-01-12,18,27368
2020-01-12,19,22852
2020-01-12,20,20947
2020-01-12,21,21501
2020-01-12,22,16766
2020-01-12,23,7789
2020-01-13,0,1642
2020-01-13,1,28
2020-01-13,5,0
2020-01-13,6,4990
2020-01-13,7,14248
2020-01-13,8,27904
2020-01-13,9,19819
2020-01-13,10,15736
2020-01-13,11,16909
2020-01-13,12,17158
2020-01-13,13,16652
2020-01-13,14,16120
2020-01-13,15,16430
2020-01-13,16,17780
2020-01-13,17,25386
2020-01-13,18,31360
2020-01-13,19,21752
2020-01-13,20,15809
2020-01-13,21,16894
2020-01-13,22,14430
2020-01-13,23,4718
2020-01-14,0,1649
2020-01-14,1,22
2020-01-14,5,0
2020-01-14,6,4400
2020-01-14,7,13177
2020-01-14,8,25710
2020-01-14,9,17622
2020-01-14,10,13888
2020-01-14,11,14765
2020-01-14,12,16189
2020-01-14,13,16336
2020-01-14,14,16030
2020-01-14,15,15795
2020-01-14,16,17642
2020-01-14,17,24248
2020-01-14,18,30385
2020-01-14,19,20738
2020-01-14,20,15189
2020-01-14,21,16445
2020-01-14,22,13719
2020-01-14,23,4220
2020-01-15,0,1514
2020-01-15,1,24
2020-01-15,5,1
2020-01-15,6,3999
2020-01-15,7,12398
2020-01-15,8,21785
2020-01-15,9,18080
2020-01-15,10,14842
2020-01-15,11,14834
2020-01-15,12,15876
2020-01-15,13,16218
2020-01-15,14,15645
2020-01-15,15,15465
2020-01-15,16,17318
2020-01-15,17,25311
2020-01-15,18,30938
