air_presr,temp_℃,humidity,wind_spd_m_s,precipitation＿mm_t,time,people
1020.4,13.8,86,1.6,0.0,1,8
1020.1,13.9,92,2.3,0.0,6,1357
1020.7,14.1,93,2.4,0.0,7,1421
1021.3,14.4,92,1.6,0.0,8,1785
1021.7,15.0,89,1.6,0.0,9,2841
1021.8,15.1,90,1.8,0.0,10,4691
1021.4,15.3,90,2.3,0.0,11,6847
1020.3,15.3,90,1.8,0.0,12,8030
1019.4,15.1,92,1.8,0.0,13,8482
1019.0,15.2,92,1.5,0.0,14,10139
1018.9,15.2,91,1.9,0.0,15,11059
1019.0,15.2,91,2.3,0.0,16,11769
1019.0,15.3,94,2.1,0.0,17,12216
1019.2,15.2,92,2.1,0.0,18,11082
1019.4,15.3,91,1.8,0.0,19,8974
1019.4,15.5,89,1.9,0.0,20,7458
1019.1,15.7,89,1.9,0.0,21,7403
1019.0,15.9,87,1.7,0.0,22,6600
1018.7,15.9,86,1.4,0.0,23,2120
1018.6,16.3,85,1.3,0.0,0,660
1018.4,16.2,85,2.0,0.0,1,5
1017.1,15.8,85,1.9,0.0,5,1
1017.4,16.0,83,2.1,0.0,6,1304
1018.3,16.6,82,2.0,0.0,7,6084
1018.7,17.5,77,2.1,0.0,8,13871
1019.0,19.2,70,1.2,0.0,9,8202
1018.7,21.3,65,1.2,0.0,10,5210
1017.9,22.1,62,0.7,0.0,11,5441
1016.8,22.8,60,0.6,0.0,12,5829
1015.8,23.3,60,0.6,0.0,13,6026
1015.0,24.3,55,0.8,0.0,14,6025
1015.0,23.6,56,1.3,0.0,15,6281
1015.5,23.0,56,1.2,0.0,16,7313
1015.9,20.9,67,0.8,0.0,17,10031
1016.4,19.8,72,0.9,0.0,18,15573
1016.9,18.8,74,1.6,0.0,19,11801
1017.3,18.5,77,1.3,0.0,20,7717
1017.3,17.9,79,1.7,0.0,21,7251
1017.2,17.5,79,1.6,0.0,22,6525
1016.7,17.4,78,1.3,0.0,23,2119
1016.0,17.2,78,1.7,0.0,0,1214
1015.5,17.2,78,1.2,0.0,1,22
1014.7,17.3,78,1.3,0.0,5,1
1015.1,17.3,78,1.3,0.0,6,1340
1015.5,18.0,79,1.0,0.0,7,6048
1016.3,19.2,72,0.7,0.0,8,13749
1017.0,20.8,69,0.9,0.0,9,8210
1016.7,22.6,63,0.8,0.0,10,5605
1015.7,23.4,59,1.6,0.0,11,5831
1014.3,24.0,52,1.9,0.0,12,6399
1013.4,23.9,50,1.6,0.0,13,6638
1012.7,24.5,49,1.3,0.0,14,6827
1012.3,24.0,52,1.5,0.0,15,7105
1012.2,23.3,55,1.5,0.0,16,8696
1012.6,22.1,60,1.2,0.0,17,11817
1013.0,21.3,64,1.0,0.0,18,17383
1013.8,20.4,68,1.0,0.0,19,13450
1014.5,19.7,74,0.3,0.0,20,8554
1015.0,19.1,78,1.5,0.0,21,8437
1014.8,18.9,76,1.2,0.0,22,9086
1014.4,18.7,76,0.6,0.0,23,3698
1013.7,18.8,75,1.0,0.0,0,1254
1013.0,18.8,74,1.5,0.0,1,16
1012.9,17.5,80,0.0,0.0,5,1
1013.4,16.7,85,0.0,0.0,6,813
1014.0,16.6,87,0.0,0.0,7,2687
1014.4,18.2,81,0.0,0.0,8,2783
1014.9,20.4,70,0.0,0.0,9,3818
1014.8,22.4,64,0.2,0.0,10,5685
1013.6,24.0,62,0.9,0.0,11,6949
1012.3,24.7,52,1.8,0.0,12,7027
1011.3,24.6,50,1.3,0.0,13,8182
1010.7,24.4,49,2.3,0.0,14,9091
1010.7,24.4,48,1.7,0.0,15,9485
1010.9,23.5,55,1.4,0.0,16,10811
1011.7,22.5,65,1.0,0.0,17,13172
1012.6,21.2,70,1.6,0.0,18,11827
1013.2,20.4,72,1.8,0.0,19,8640
1013.5,20.0,75,1.8,0.0,20,7588
1013.7,20.0,72,1.6,0.0,21,7613
1013.8,20.1,72,2.0,0.0,22,8752
1013.7,19.7,74,1.6,0.0,23,3744
1013.5,18.8,89,1.9,0.0,0,589
1013.6,18.5,91,2.1,0.0,1,5
1013.1,19.1,86,0.9,0.0,5,0
1013.5,19.2,83,1.2,0.0,6,574
1013.9,19.2,82,1.5,0.0,7,1123
1014.3,20.0,80,1.5,0.0,8,1919
1015.0,20.8,76,1.2,0.0,9,3032
1015.0,22.4,63,2.9,0.0,10,5046
1013.8,23.3,60,2.5,0.0,11,6288
1012.6,23.7,58,3.2,0.0,12,6395
1011.9,23.5,57,2.2,0.0,13,7234
1011.7,23.6,58,2.7,0.0,14,8405
1011.7,23.2,61,1.9,0.0,15,8530
1012.0,23.1,60,2.4,0.0,16,9470
1012.6,22.2,67,1.0,0.0,17,10573
1012.9,22.0,70,2.0,0.0,18,9435
1013.5,21.8,71,1.2,0.0,19,7311
1013.8,21.4,74,0.9,0.0,20,6555
1013.9,21.0,76,1.1,0.0,21,6538
1013.6,21.2,73,1.8,0.0,22,6165
1013.3,21.5,70,1.6,0.0,23,1841
1012.7,21.6,70,1.1,0.0,0,553
1012.2,21.5,70,0.3,0.0,1,9
1012.5,18.7,83,0.0,0.0,5,0
1013.1,18.5,85,0.0,0.0,6,1273
1013.4,18.0,87,0.0,0.0,7,5871
1014.0,19.4,82,0.0,0.0,8,14358
1014.2,21.3,72,0.0,0.0,9,8485
1013.9,22.9,61,0.5,0.0,10,5338
1013.3,24.4,56,0.4,0.0,11,5074
1012.1,25.3,53,0.2,0.0,12,5384
1010.8,25.9,55,0.5,0.0,13,5341
1010.5,26.5,57,0.2,0.0,14,5699
1010.2,24.7,67,0.5,0.0,15,5888
1010.2,24.4,68,0.1,0.0,16,6862
1010.7,22.2,73,0.2,0.0,17,9521
1011.1,21.2,78,0.1,0.0,18,14998
1011.0,20.9,81,0.0,0.0,19,11130
1011.1,20.8,81,0.0,0.0,20,7127
1011.1,21.0,81,0.0,0.0,21,6916
1010.7,21.2,82,0.3,0.0,22,6165
1010.2,22.2,77,1.1,0.0,23,1748
1009.5,21.9,79,0.5,0.0,0,610
1008.7,21.8,78,0.6,0.0,1,5
1008.3,19.5,84,0.4,0.0,5,0
1009.1,19.1,85,0.1,0.0,6,1215
1010.1,18.8,89,0.9,0.0,7,5833
1010.3,18.3,86,0.1,0.0,8,14214
1010.0,19.8,78,0.9,0.0,9,8721
1010.5,21.6,71,0.5,0.0,10,5201
1010.9,23.4,64,0.4,0.0,11,4997
1010.1,24.3,62,0.6,0.0,12,5353
1008.9,25.7,52,1.2,0.0,13,5505
1007.8,25.6,50,1.7,0.0,14,5586
1007.4,26.5,45,0.9,0.0,15,5595
1007.8,25.8,46,0.7,0.0,16,6785
1008.4,24.8,53,0.3,0.0,17,9571
1009.1,23.8,57,0.7,0.0,18,15280
1009.7,23.3,59,0.0,0.0,19,11339
1010.0,22.3,69,0.0,0.0,20,7062
1010.3,21.7,74,0.0,0.0,21,7324
1010.0,20.7,77,0.0,0.0,22,6800
1010.2,20.0,79,0.2,0.0,23,1947
1010.6,19.6,79,0.2,0.0,0,611
1010.8,19.5,79,0.0,0.0,1,3
1012.8,18.6,83,0.3,0.0,5,0
1013.6,19.0,76,1.2,0.0,6,1220
1014.6,18.8,81,0.8,0.0,7,5906
1015.5,18.7,80,1.6,0.0,8,14151
1016.0,18.6,73,2.1,0.0,9,8452
1016.4,18.5,67,1.3,0.0,10,5372
1015.5,18.7,66,2.1,0.0,11,5114
1014.4,18.5,64,1.4,0.0,12,5510
1013.6,17.7,66,2.5,0.0,13,5936
1013.0,17.5,65,2.2,0.0,14,5927
1012.5,17.4,66,2.9,0.0,15,5810
1012.7,16.9,66,3.4,0.0,16,7045
1013.2,16.0,68,2.4,0.0,17,10304
1013.6,16.0,70,2.4,0.0,18,15404
1013.8,15.6,71,3.1,0.0,19,11639
1014.1,15.8,72,2.9,0.0,20,7356
1014.0,16.1,71,2.7,0.0,21,7927
1014.2,16.0,70,2.9,0.0,22,7064
1014.0,16.1,70,2.9,0.0,23,2075
1013.8,16.1,69,2.0,0.0,0,823
1013.3,16.1,71,2.0,0.0,1,7
1012.2,16.2,72,2.6,0.0,5,1
1012.8,16.5,73,2.3,0.0,6,1264
1013.2,17.0,75,2.3,0.0,7,5877
1013.8,17.1,70,2.4,0.0,8,13971
1014.3,17.7,67,2.2,0.0,9,8752
1014.2,18.7,64,1.6,0.0,10,5535
1013.0,19.0,62,2.0,0.0,11,5139
1011.6,20.5,60,1.6,0.0,12,5770
1010.4,21.7,58,1.4,0.0,13,5991
1009.8,21.8,58,0.9,0.0,14,6160
1009.5,21.7,59,0.9,0.0,15,6098
1009.0,21.5,61,0.7,0.0,16,7877
1009.2,20.5,67,0.7,0.0,17,11159
1009.6,19.3,72,0.5,0.0,18,16333
1010.8,18.4,75,1.1,0.0,19,11915
1011.0,18.0,78,1.3,0.0,20,7734
1010.9,17.7,81,2.0,0.0,21,8610
1010.5,17.5,81,1.5,0.0,22,8267
1010.2,17.4,83,1.6,0.0,23,2499
1009.6,17.4,85,1.7,0.0,0,1276
1009.3,17.5,85,1.4,0.0,1,14
1009.2,18.4,84,1.6,0.0,5,0
1009.5,18.4,84,1.4,0.0,6,1443
1010.1,19.1,85,1.1,0.0,7,5907
1010.1,19.1,83,1.6,0.0,8,13646
1010.5,19.9,81,1.6,0.0,9,8281
1010.1,22.3,70,0.8,0.0,10,5493
1009.3,22.8,70,1.3,0.0,11,5790
1008.0,24.2,60,0.9,0.0,12,6333
1006.9,25.7,54,0.7,0.0,13,6815
1006.4,24.7,58,1.2,0.0,14,7186
1006.1,24.6,56,0.4,0.0,15,7343
1006.2,23.9,58,0.2,0.0,16,9214
1006.3,23.3,60,0.1,0.0,17,13527
1006.8,22.2,69,0.0,0.0,18,18369
1007.3,21.8,69,0.1,0.0,19,13762
1007.5,21.2,71,0.0,0.0,20,9130
1007.8,20.7,74,0.0,0.0,21,9455
1008.1,19.8,79,0.0,0.0,22,9805
1007.7,19.2,82,0.0,0.0,23,3898
1007.5,18.8,82,0.0,0.0,0,1030
1007.2,18.6,84,0.0,0.0,1,15
1007.3,17.9,87,0.0,0.0,5,0
1007.7,17.6,86,0.1,0.0,6,888
1007.9,17.5,86,0.3,0.0,7,1254
1008.6,17.8,84,0.0,0.0,8,2321
1008.6,20.0,72,0.0,0.0,9,4196
1008.6,21.1,68,0.5,0.0,10,5836
1008.1,23.1,63,0.5,0.0,11,6743
1007.4,22.0,68,1.3,0.0,12,6755
1006.6,22.3,66,0.8,0.0,13,7984
1006.2,21.8,65,1.3,0.0,14,8375
1006.2,20.4,70,1.8,0.0,15,8613
1006.4,20.1,71,0.9,0.0,16,8802
1006.8,19.6,74,0.5,0.0,17,9984
1007.3,19.3,80,0.2,0.0,18,8376
1007.8,18.3,84,0.2,0.0,19,6547
1008.0,18.0,84,1.0,0.0,20,5791
1008.3,17.9,84,1.6,0.0,21,6453
1008.4,17.8,85,1.1,0.0,22,7128
1008.4,17.9,83,0.5,0.0,23,3088
1008.2,17.6,83,1.1,0.0,0,682
1008.5,17.5,83,0.9,0.0,1,8
1009.4,15.3,82,1.5,0.0,5,0
1010.4,14.8,81,1.0,0.0,6,668
1011.1,14.7,81,1.0,0.0,7,993
1011.6,14.6,83,0.7,0.0,8,1901
1012.3,14.7,83,0.8,0.0,9,3117
1012.7,14.9,81,0.7,0.0,10,4960
1012.4,14.8,80,0.2,0.0,11,6601
