air_presr,temp_℃,humidity,wind_spd_m_s,precipitation＿mm_t,time,people
1024.9,14.8,82,3.6,0.0,1,17
1024.4,14.9,87,4.1,0.0,6,4799
1025.2,14.9,90,3.1,0.0,7,6957
1025.6,15.4,89,3.5,0.0,8,10221
1026.0,16.4,82,4.5,0.0,9,10837
1026.2,16.3,82,5.0,0.0,10,14249
1025.5,16.5,82,4.5,0.0,11,18653
1024.4,16.8,79,4.1,0.0,12,21292
1023.6,16.6,79,4.0,0.0,13,21334
1023.3,16.6,81,3.4,0.0,14,22299
1023.1,16.6,80,3.5,0.0,15,23563
1023.3,16.9,80,3.4,0.0,16,24754
1023.3,16.0,87,3.7,0.0,17,26806
1023.4,16.1,89,4.8,0.0,18,25404
1023.6,16.1,90,4.5,0.0,19,20546
1023.5,16.4,88,4.2,0.0,20,17976
1023.3,16.7,88,5.0,0.0,21,16832
1023.1,16.7,86,4.3,0.0,22,14121
1023.0,16.7,87,3.6,0.0,23,6766
1022.8,17.1,85,3.8,0.0,0,1526
1022.6,17.2,84,3.8,0.0,1,18
1021.4,16.5,87,4.2,0.0,5,2
1021.7,16.6,86,3.8,0.0,6,4973
1022.4,16.9,84,4.4,0.0,7,13963
1022.9,17.9,79,4.3,0.0,8,26474
1023.1,20.5,62,3.5,0.0,9,17774
1022.8,22.2,54,3.9,0.0,10,14435
1022.1,23.0,51,3.4,0.0,11,14516
1020.8,24.4,50,3.4,0.0,12,15597
1019.7,23.6,57,3.8,0.0,13,15582
1019.1,25.8,46,2.1,0.0,14,14892
1019.1,25.2,44,3.9,0.0,15,15173
1019.4,23.6,48,3.3,0.0,16,17140
1020.1,20.9,66,3.5,0.0,17,24852
1020.6,20.0,72,4.1,0.0,18,31775
1020.9,19.6,74,4.0,0.0,19,21776
1021.6,19.2,76,3.5,0.0,20,16030
1021.5,19.0,76,4.0,0.0,21,15909
1021.4,18.6,78,4.1,0.0,22,15238
1020.8,18.5,78,3.8,0.0,23,4581
1020.1,18.3,77,4.0,0.0,0,2569
1019.6,18.1,77,3.8,0.0,1,44
1018.9,17.7,80,3.6,0.0,5,2
1019.3,17.9,80,3.2,0.0,6,4177
1019.7,18.1,80,3.2,0.0,7,13072
1020.8,18.8,78,0.7,0.0,8,24756
1021.2,21.7,55,2.5,0.0,9,16878
1020.9,23.4,51,3.4,0.0,10,14519
1019.8,25.3,42,3.6,0.0,11,14898
1018.4,24.6,46,4.0,0.0,12,16770
1017.4,24.8,46,3.5,0.0,13,17740
1016.6,26.3,38,3.2,0.0,14,17365
1016.4,26.2,38,2.7,0.0,15,18400
1016.3,24.5,45,2.8,0.0,16,21448
1016.9,22.4,60,1.8,0.0,17,31564
1017.2,21.4,67,1.9,0.0,18,38184
1018.1,21.0,69,3.0,0.0,19,26078
1018.7,20.5,71,3.3,0.0,20,19544
1019.1,19.8,75,3.0,0.0,21,20009
1019.1,19.6,77,3.0,0.0,22,20287
1018.5,19.6,77,3.3,0.0,23,8081
1017.8,19.4,77,3.1,0.0,0,2485
1017.2,19.3,77,2.5,0.0,1,36
1017.3,16.6,85,0.8,0.0,5,1
1017.8,16.1,89,0.2,0.0,6,4073
1018.3,16.4,90,0.4,0.0,7,8451
1018.7,17.3,89,0.9,0.0,8,13306
1019.2,20.2,62,0.4,0.0,9,15936
1018.9,23.3,54,0.8,0.0,10,17995
1017.7,24.9,49,2.9,0.0,11,21448
1016.2,26.3,46,2.7,0.0,12,22093
1015.3,25.5,47,4.2,0.0,13,22088
1014.6,26.6,40,3.5,0.0,14,21804
1014.7,26.2,41,3.1,0.0,15,22482
1015.0,24.4,47,4.0,0.0,16,24506
